id,longitude,latitude,eating,nature,community,walking,sightseeing,avg_comfort_score,avg_comfort_eating,avg_comfort_nature,avg_comfort_community,avg_comfort_walking,avg_comfort_sightseeing
857,103.785,1.415,1,6,2,3,5,0.6080566,0.0,0.6647754,0.6109094,0.649743,0.5436739
858,103.785,1.42,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
859,103.785,1.425,1,3,2,8,3,0.5673559,0.5363852,0.47438768,0.57196033,0.58453584,0.6446401
860,103.785,1.43,10,1,7,5,5,0.6199748,0.6184411,0.6554436,0.63913083,0.6482855,0.6049395
861,103.785,1.435,19,0,3,1,0,0.5845155,0.6027671,0.0,0.45987594,0.5568868,0.0
862,103.785,1.44,2,2,12,3,10,0.58645827,0.695964,0.62707126,0.59995896,0.54305464,0.546555
863,103.785,1.445,2,1,1,1,0,0.53981775,0.45236808,0.0,0.52029294,0.63100344,0.0
864,103.785,1.45,1,1,1,0,10,0.5363917,0.55093265,0.57855153,0.58114916,0.0,0.53092736
865,103.785,1.455,0,0,7,2,0,0.52844566,0.0,0.0,0.5518737,0.53231555,0.0
866,103.79,1.265,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
867,103.79,1.27,0,1,1,1,1,0.7628732,0.0,0.8879941,0.77005506,0.77476424,0.6186793
868,103.79,1.275,13,2,8,18,2,0.62779856,0.62938654,0.59882426,0.55586916,0.6581691,0.6744083
869,103.79,1.28,21,2,5,5,7,0.6327321,0.6560803,0.5339718,0.566476,0.60418,0.71203053
870,103.79,1.285,0,24,2,4,13,0.584819,0.0,0.6019288,0.56161714,0.5539093,0.5662766
871,103.79,1.29,5,0,1,0,0,0.65232027,0.65232027,0.0,0.0,0.0,0.0
872,103.79,1.295,2,6,8,2,4,0.56722355,0.60466033,0.5503988,0.5770408,0.423675,0.5778539
873,103.79,1.3,0,0,4,9,1,0.6267947,0.0,0.0,0.5922549,0.6421457,0.0
874,103.79,1.305,8,0,2,0,2,0.6362204,0.6774454,0.0,0.7421797,0.0,0.6768627
875,103.79,1.31,13,5,6,0,4,0.6067994,0.635374,0.5661769,0.61681306,0.0,0.6222836
876,103.79,1.315,1,0,1,0,0,0.5866729,0.6034924,0.0,0.5698535,0.0,0.0
877,103.79,1.32,3,1,1,0,0,0.59973633,0.583533,0.60911816,0.63896483,0.0,0.0
878,103.79,1.325,2,0,1,8,6,0.63352937,0.58754224,0.0,0.6711309,0.6592136,0.50111455
879,103.79,1.33,7,5,2,2,2,0.6440494,0.6859141,0.53782064,0.68585676,0.78723794,0.5865122
880,103.79,1.335,6,0,3,1,3,0.6359085,0.67183083,0.0,0.66720504,0.5117405,0.66150224
881,103.79,1.34,18,2,7,8,3,0.62008214,0.64910215,0.4623186,0.60268736,0.61342365,0.5003528
882,103.79,1.345,3,0,2,0,0,0.6157222,0.6486388,0.0,0.5843054,0.0,0.0
883,103.79,1.35,0,0,0,0,1,0.34689343,0.0,0.0,0.0,0.0,0.34689343
884,103.79,1.355,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
885,103.79,1.36,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
886,103.79,1.365,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
887,103.79,1.37,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
888,103.79,1.375,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
889,103.79,1.38,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
890,103.79,1.385,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
891,103.79,1.39,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
