embedding_index,grid_id,cluster,activity,has_text,comfort_anchor_similarity,discomfort_anchor_similarity,comfort_raw_score,comfort_score
6820,559,7,sightseeing,False,,,,
6821,559,4,,True,0.054784417,0.052180424,0.0026039928,0.53259474
6822,560,2,walking,True,0.0967271,0.075507596,0.021219507,0.58651227
6823,560,2,walking,True,0.081778966,-0.0029700438,0.08474901,0.7705175
6824,560,2,walking,True,0.0967271,0.075507596,0.021219507,0.58651227
6825,560,2,walking,True,0.2501338,0.18614893,0.063984886,0.71037686
6826,560,2,walking,True,0.024243683,0.014998801,0.009244882,0.5518293
6827,560,5,community,True,0.09663123,0.062843814,0.033787414,0.6229136
6828,560,2,walking,True,0.12752572,0.10335228,0.024173439,0.5950679
6829,560,2,walking,True,0.054141812,0.039213408,0.014928404,0.5682908
6830,560,7,sightseeing,True,0.21771508,0.13796231,0.07975277,0.75604653
6831,560,7,sightseeing,True,0.21443078,0.17510016,0.039330617,0.6389688
6832,560,1,community,True,0.25263467,0.16436677,0.08826791,0.7807096
6833,560,4,,True,0.05071879,0.027141467,0.023577325,0.5933414
6834,560,2,walking,True,0.0967271,0.075507596,0.021219507,0.58651227
6835,560,2,walking,True,0.0967271,0.075507596,0.021219507,0.58651227
6836,560,7,sightseeing,True,0.062434316,0.011886508,0.05054781,0.671458
6837,560,5,community,True,0.09672707,0.075507596,0.021219477,0.58651215
6838,560,5,community,True,0.026963122,0.029826745,-0.0028636232,0.5167585
6839,560,5,community,True,0.045831148,0.016757132,0.029074015,0.6092619
6840,560,4,,True,0.15447246,0.13076481,0.023707643,0.5937188
6841,560,4,,False,,,,
6842,560,5,community,True,0.10696041,0.07653127,0.03042914,0.6131868
6843,560,2,walking,True,0.30969328,0.2731292,0.036564082,0.6309559
6844,560,2,walking,False,,,,
6845,560,7,sightseeing,True,0.07009636,0.057959754,0.012136605,0.56020474
6846,560,2,walking,True,0.09672707,0.075507596,0.021219477,0.58651215
6847,560,7,sightseeing,False,,,,
6848,560,2,walking,True,0.028428718,-0.08590215,0.114330865,0.85619766
6849,560,7,sightseeing,True,0.26794603,0.17196451,0.09598152,0.8030512
6850,561,0,eating,True,0.10913867,0.085515305,0.023623362,0.5934747
6851,561,0,eating,True,0.15516464,0.072571725,0.08259292,0.76427263
6852,561,0,eating,True,0.10276368,0.094311394,0.008452289,0.5495336
6853,561,6,eating,True,0.092214525,0.083398916,0.008815609,0.5505859
6854,561,0,eating,True,0.11455819,0.09127253,0.023285657,0.5924966
6855,561,0,eating,True,0.10850564,0.09749348,0.011012159,0.55694795
6856,561,0,eating,True,0.107810296,0.09393272,0.013877578,0.56524724
6857,561,1,community,True,0.2889513,0.20395909,0.084992215,0.771222
